韋;leather
口;mouth, enclosure 
日;day, sun
国;country
木;tree, wood
儿;legs
生;life
刀;sword,knife
厶;private
田;rice field
老;old
矢;arrow
示 (礻);altar, festival, display, spiritual, ancestor
土;soil, earth, ground
𠆢 (宀);roof
牛;cow
手;hand
糸 (糹);silk
小;little, small
幺;short, tiny
氏;family name, clan
斤;axe
耳;ear
門;gate
干;pestle (чукало)
亠;lid (капак)
隹;small bird
言;speech
士;scholar, samurai
心 (忄, ⺗);heart, mind, spirit
力;power, force
几;table
亅;hook
子;child, seed
冖;cover
艸 (艹);grass
曰;say
立;stand, erect
舌;tongue
辛;spicy, bitter
聿 (⺻, 書);brush
寸;thumb, inch
矛;spear
攵;action
至;arrive
老;old
食 (飠);eat, food
玉 (王);jade, king
羊 (⺶);sheep
父;father
